Company Name, telephone, Fax, Email, Website
adwels corporation , NaN, NaN, NaN, NaN
America State Office Association , 81-3-6697-4872, 81-3-4496-6035, info@asoajapan.org, http://www.asoajapan.org/jpn/index.html
BETHEL Co. Ltd. , 81-29-825-2620, 81-29-307-8451, senden@btl-hrd.jp, NaN
CCPIT Sub-council of Chemical Industry , 86-10-64272720, 86-10-64205891, a.dai@ccpitchem.org.cn, http://www.ccpitchem.org.cn
Chang Chun Tuo Cai Technology Co. Ltd , 86-431-81292405, 86-10-64205891, tuocai1@tuocaitech.com, http://www.tuocaitech.com
CHUGAI KASEI CO. LTD. , 81-243-22-6050, 81-243-22-6070, cgk@chugaichem.co.jp, http://www.chugaichem.co.jp
CHUKYO KASEI KOGYO CO. LTD , +81-566-36-3690, +81-566-2801, kato@c-k-k.co.jp, http://www.c-k-k.co.jp
Commonwealth of Pennsylvania Japan Investment office , NaN, NaN, NaN, NaN
Composite Highway Consortium , NaN, NaN, NaN, NaN
DaikyoNishikawa Corporation , 81-82-885-9050, 81-82-884-1614, y-akiyama@daikyonishikawa.co.jp, http://www.daikyonishikawa.co.jp/en/index.html
Department of Functionalized Natural Materials The Institute of Scientific and Industrial Research Osaka University , 81-6-6879-8441, 81-82-884-1614, NaN, http://www.nogimasaya.com/
DKSH Japan K.K. , NaN, NaN, NaN, NaN
DPS Inc. , +81-75-393-5843, +81-75-874-5743, info@dps-inc.co.jp, https://www.dps-inc.co.jp/en/
FASOTEC CO. LTD. , 81-43-212-2512, +81-75-874-5743, hirai@fasotec.co.jp, http://www.fasotec.co.jp
Fluoro Tech USA , 9097575710, 9097575713, helen.zhao@fluorotechusa.com, NaN
FUJIFILM Wako Pure Chemical Corporation , 81-3-3244-0305, 81-3-5255-6157, ffwk-spec-chem08@fujifilm.com, http://www.wako-chem.co.jp/kaseihin/index.htm
Global Amines Company Pte Ltd , 65-62168304, 81-3-5255-6157, how.choonwai@wilmar.com.sg, http://www.globalamines.com
Green Science Alliance Co. Ltd. , 81-72-759-8501, 81-72-759-9008, info@gsalliance.co.jp, https://www.gsalliance.co.jp/en/
Hangzhou Verychem Science And Technology Co.Ltd. , 0086-571-88162785, 0086-571-81906939, lucy@verchem.com, NaN
Hebei Dapeng Pharm&Chem Co.Ltd. , 0317-7238109, 0317-7238866, Cherry.nie@dpchem.com, NaN
Hirano Seiki Industries Corporation, 81-72-228-1775, 81-72-225-2362, tkopp@hiranoseiki.co.jp, http://www.hiranoseiki.co.jp
HSP Technologies Inc. , +81-29-846-2511, +81-29-846-2511, h.shimizu@hsp-technologies.co.jp, http://www.hsp-technologies.co.jp/
